Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0xca342deccdede8f32bdedacb5014dc36d80ab1decc8c59befb9a4235261c6be6","Success","Handle Ops","42300549","2026-02-18 04:54:05","0xD87b6F1b9fCB9dEB0baF5661fFd9775Ab5E94a55","","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","12,056,094.77","$0.00"
"0xca342deccdede8f32bdedacb5014dc36d80ab1decc8c59befb9a4235261c6be6","Success","Handle Ops","42300549","2026-02-18 04:54:05","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","821.883149489018267075","$0.00"
"0xca342deccdede8f32bdedacb5014dc36d80ab1decc8c59befb9a4235261c6be6","Success","Handle Ops","42300549","2026-02-18 04:54:05","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","2,054.707873722545667687","$0.00"
"0x1dfbd7718b5dd6271f8b9252839bca50029d798405075d176a6dbd698fa3386a","Success","Handle Ops","42292729","2026-02-18 00:33:25","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0xdc5d8200A030798BC6227240f68b4dD9542686ef","","36,364,045.083734610148422555","$0.00"
"0x1dfbd7718b5dd6271f8b9252839bca50029d798405075d176a6dbd698fa3386a","Success","Handle Ops","42292729","2026-02-18 00:33:25","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","205,470.787372254566768712","$0.00"
"0x1dfbd7718b5dd6271f8b9252839bca50029d798405075d176a6dbd698fa3386a","Success","Handle Ops","42292729","2026-02-18 00:33:25","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","513,676.968430636416921779","$0.00"
"0x2f23f0548025ff107afe5bc839570a126ade7eb5b08324f413ebda720529b199","Success","Handle Ops","42284503","2026-02-17 19:59:13","0xdc5d8200A030798BC6227240f68b4dD9542686ef","","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","51,044,510.624752035684914509","$0.00"
"0x2f23f0548025ff107afe5bc839570a126ade7eb5b08324f413ebda720529b199","Success","Handle Ops","42284503","2026-02-17 19:59:13","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","323,186.218311606007263301","$0.00"
"0x2f23f0548025ff107afe5bc839570a126ade7eb5b08324f413ebda720529b199","Success","Handle Ops","42284503","2026-02-17 19:59:13","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","807,965.545779015018158251","$0.00"
"0x0aa79ef64b0ccf2ab68d5022f405b9b53b2c6b85861983918649acd1366ebe76","Success","Swap","42247525","2026-02-16 23:26:37","0xD87b6F1b9fCB9dEB0baF5661fFd9775Ab5E94a55","","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","80,026,876.924436575459064919","$0.00"
"0x0aa79ef64b0ccf2ab68d5022f405b9b53b2c6b85861983918649acd1366ebe76","Success","Swap","42247525","2026-02-16 23:26:37","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","769,677.65346492635676013","$0.00"
"0x0aa79ef64b0ccf2ab68d5022f405b9b53b2c6b85861983918649acd1366ebe76","Success","Swap","42247525","2026-02-16 23:26:37","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","1,924,194.133662315891900324","$0.00"
"0x5494eae9da9f24faba79c3af9e3aae20dfaabe0c7312c6f07c55801abb18028d","Success","Handle Ops","42247033","2026-02-16 23:10:13","0xdc5d8200A030798BC6227240f68b4dD9542686ef","","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","192,418,995.480242273639884349","$0.00"
"0x5494eae9da9f24faba79c3af9e3aae20dfaabe0c7312c6f07c55801abb18028d","Success","Handle Ops","42247033","2026-02-16 23:10:13","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","417.885989315550148043","$0.00"
"0x5494eae9da9f24faba79c3af9e3aae20dfaabe0c7312c6f07c55801abb18028d","Success","Handle Ops","42247033","2026-02-16 23:10:13","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","1,044.714973288875370106","$0.00"
"0x3c550d6c64693be11400ff50c54ff576c245b17aba9fcf1331282f7030d65388","Success","Handle Ops","42206299","2026-02-16 00:32:25","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0xdc5d8200A030798BC6227240f68b4dD9542686ef","","190,577,724.12864371329470813","$0.00"
"0x3c550d6c64693be11400ff50c54ff576c245b17aba9fcf1331282f7030d65388","Success","Handle Ops","42206299","2026-02-16 00:32:25","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","104,471.497328887537010629","$0.00"
"0x3c550d6c64693be11400ff50c54ff576c245b17aba9fcf1331282f7030d65388","Success","Handle Ops","42206299","2026-02-16 00:32:25","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","261,178.743322218842526571","$0.00"
"0x7385b2b39c78f5f3a327c666d478de29d9870c7a49aeea04c1db6569ef93b351","Success","Handle Ops","42195892","2026-02-15 18:45:31","0xD87b6F1b9fCB9dEB0baF5661fFd9775Ab5E94a55","","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","25,392,385.62","$0.00"
"0x7385b2b39c78f5f3a327c666d478de29d9870c7a49aeea04c1db6569ef93b351","Success","Handle Ops","42195892","2026-02-15 18:45:31","0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496","Clanker: LP Locker Fee Conversion v4.0.0","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","725,488.712221884252657166","$0.00"
