Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x10e2566c8ad6e8e82339caf541291421d15ecacb1d3bc4608307e326849b9a7a","Success","0x01000000","42427244","2026-02-21 03:17:15","0x377dd27e9194701D02A74870764c6d381716b75d","","0x4e962BB3889Bf030368F56810A9c96B83CB3E778","","1.17446601","$89,648.17"
"0x286c0cfbe0b322a0ff41824e2a7011dfd95214eee8f6ca8c572c5d853580a97c","Success","0xae6333de","42427244","2026-02-21 03:17:15","0x2281B86cD32e250B0f1FC458a6d2e718b44E1E0a","","0x1E726F3177a933cc134Fd0ea7C326EAb270E0137","","0.01749937","$1,335.74"
"0x975beeb3a552390e4e73eb5267c08f2b9ce66219c60fd99d85a52ef6e74fe2d3","Success","0x57335dda","42427244","2026-02-21 03:17:15","0x4149072AEB9c1a77df2928C363CBe2f5d281ead9","","0x47f9e291bb766Fc307Ad7BBa4f29f3Eab6A97101","","0.3188095","$24,335.05"
"0xad71ebd0cecb0dd54ad7075a9fe39caf60eadf9000e040f55201223cadb56f08","Success","Remove Liquidity","42427244","2026-02-21 03:17:15","0x1E726F3177a933cc134Fd0ea7C326EAb270E0137","","0x2281B86cD32e250B0f1FC458a6d2e718b44E1E0a","","0.01749937","$1,335.74"
"0x23bc973852aab2534779da727ac9c3f503cc4389ef5460edfb7a867043105f99","Success","0x01000000","42427244","2026-02-21 03:17:15","0x4e962BB3889Bf030368F56810A9c96B83CB3E778","","0x377dd27e9194701D02A74870764c6d381716b75d","","1.174466","$89,648.16"
"0x1a9bf8e367efd9a092045184ef0c7b8e017461c812c3f2f7a618b11d484a1c8f","Success","0x01000000","42427243","2026-02-21 03:17:13","0x377dd27e9194701D02A74870764c6d381716b75d","","0x4e962BB3889Bf030368F56810A9c96B83CB3E778","","1.17446601","$89,648.17"
"0x7574d4dbef519ecdba861c5b6cba053d495fceeb4f114dbbe44059e53feb859d","Success","0xae6333de","42427243","2026-02-21 03:17:13","0x2281B86cD32e250B0f1FC458a6d2e718b44E1E0a","","0x1E726F3177a933cc134Fd0ea7C326EAb270E0137","","0.01749938","$1,335.75"
"0xba47aa40c6dbd0ae633ba010796eb2de7d75c21111d5cf6c735c73daedde550d","Success","Remove Liquidity","42427243","2026-02-21 03:17:13","0x70aCDF2Ad0bf2402C957154f944c19Ef4e1cbAE1","","0xbF5215eEDe91F102F13beDA4FabbDb44E9269066","","0.17119191","$13,067.25"
"0x4a684606c59f09cb39bfdfb8d0db1bab5cdd28656a22521343ee4b2329010720","Success","Remove Liquidity","42427243","2026-02-21 03:17:13","0x1E726F3177a933cc134Fd0ea7C326EAb270E0137","","0x2281B86cD32e250B0f1FC458a6d2e718b44E1E0a","","0.01749938","$1,335.75"
"0x3f72799e88e3b7b4e9be3a000c29baefd183c2b7af58cf07eba36ef47095a999","Success","Swap","42427243","2026-02-21 03:17:13","0xbF44De8fc9EEEED8615b0b3bc095CB0ddef35e09","","0xb94b22332ABf5f89877A14Cc88f2aBC48c34B3Df","","0.00026036","$19.87"
"0x3f72799e88e3b7b4e9be3a000c29baefd183c2b7af58cf07eba36ef47095a999","Success","Swap","42427243","2026-02-21 03:17:13","0x238a358808379702088667322f80aC48bAd5e6c4","","0xbF44De8fc9EEEED8615b0b3bc095CB0ddef35e09","","0.00026036","$19.87"
"0x50de3a31ff49bd3f84c7d4f043bf2fc766754e0b43fbef69850cdcd87713c3cd","Success","0x01000000","42427243","2026-02-21 03:17:13","0x4e962BB3889Bf030368F56810A9c96B83CB3E778","","0x377dd27e9194701D02A74870764c6d381716b75d","","1.174466","$89,648.16"
"0x809f739c7ef087943330b4f8d77ae2ef307dd230deb8cfcca1d1788536216c25","Success","0x01000000","42427242","2026-02-21 03:17:11","0x377dd27e9194701D02A74870764c6d381716b75d","","0x4e962BB3889Bf030368F56810A9c96B83CB3E778","","1.17446601","$89,648.17"
